Date,AAPL,AMZN,AVGO,BRK-B,GOOG,INTC,JPM,LLY,MA,META,MSFT,NFLX,NVDA,ORCL,TSLA,XOM
2020-01-02,0.015156929882169502,0.0022126516386361907,0.0005198330256967089,1.0111814893936721e-05,0.031178412309521585,0.010978240758289478,0.01763673107039666,0.005561686920754095,0.0016902564748256413,0.022478553671118128,0.05481444880318885,0.006805773374697184,0.00017185762302263034,0.007459465568298667,0.00024313252796742327,0.010770627739664194
2020-01-03,0.015098859916346042,0.0021987942006322643,0.0005096245261226979,1.0073535642090985e-05,0.031363874700399925,0.010909219985695917,0.01750751540745908,0.005576149925043887,0.001683721682215915,0.022612265621102814,0.05445390326543948,0.00676509241491026,0.00017011275348711386,0.007477412723743204,0.00025182644939041347,0.0107475901464239
2020-01-06,0.015187643870432822,0.0022269014625864707,0.000507807996850487,1.0088667653042326e-05,0.03129889812827953,0.010855825216033973,0.017457353606909705,0.005585290313584123,0.001684708272045005,0.022565419766693233,0.054481573142991416,0.0069567787555045195,0.00017047228340636494,0.007500786997819924,0.00025614352183266276,0.010807677246525671
2020-01-07,0.015159323337846689,0.002237923476472992,0.0005075030206844812,1.006974695276538e-05,0.03138815941896322,0.01070512585364465,0.017209511087331802,0.0056118069935243865,0.0016837918290577702,0.022629774060730645,0.05413878943070718,0.006871085832957748,0.00017302818760869067,0.0075388801167368584,0.0002668408638806774,0.010749793516838737
2020-01-08,0.015333539154016872,0.00221040907726796,0.0004989062908690284,1.002732511822934e-05,0.031246244886120836,0.01066395975457563,0.01726534310053997,0.005637024376239869,0.0017057540521142388,0.022527458605679878,0.05475246144621466,0.007016009583218799,0.0001725689436105174,0.007534023537640878,0.00027870489718582304,0.010539814607953946
2020-01-09,0.015570584840153195,0.0022084432856073993,0.0004920970530452894,1.0087914284703234e-05,0.03106934930439717,0.010662926165444573,0.01723028315427381,0.005697755043017162,0.0017183340589211004,0.022399923027906256,0.05512263574337547,0.006902261737203333,0.00017347647026073413,0.007525969885710898,0.0002710454978044789,0.010560376027398897
2020-01-10,0.015654659913526943,0.0021945117444842448,0.0004822908905113589,1.0029664275161758e-05,0.031166651056866734,0.010631384887409143,0.017111956183907154,0.0058030657489072665,0.0017352589506292116,0.022470074215961235,0.055039413583304025,0.006787528854598814,0.00017495066243357145,0.007559256951724169,0.00027009242255012183,0.010499297062299818
2020-01-13,0.015886463672177383,0.002189848507538518,0.00048233362097683527,1.0045747611544576e-05,0.030966567937928884,0.010679625824480359,0.017143296149094996,0.005805083863917472,0.0017465035455789205,0.022325821228250387,0.0553436185060687,0.006946242818034725,0.00017927744263352747,0.007528661687614824,0.00029457414924834337,0.010531477154303645
2020-01-14,0.015680549237399078,0.0021657257943478686,0.0004938147731098632,9.994944351530833e-06,0.03098356412375396,0.010656793315966282,0.01735273682715057,0.005879754274578562,0.0017221274033395696,0.022338074888618994,0.054983999124504385,0.006945338590010814,0.00017603006230019054,0.007574195838903643,0.0003020696872114397,0.010446681370882015
2020-01-15,0.01559053645141049,0.0021539786387008647,0.00048502937451984184,1.003218555245746e-05,0.030938303609726554,0.010553492347906741,0.017067723922060508,0.005890368209529722,0.0017395951113339367,0.022305443628128648,0.055259246702671946,0.006942974079278175,0.00017455738762238353,0.007546595598124281,0.00029073903297782006,0.010414837504203868
2020-01-16,0.01566977760261419,0.002156423586710674,0.0004876735569968894,1.0018611111946376e-05,0.030710846199461513,0.010603873338106277,0.017007919753816048,0.005860320674197176,0.0017600500892115906,0.022141454726006943,0.05585807902695169,0.006882782619499526,0.00017564485961497526,0.007582767245979043,0.0002858129231652314,0.010297865515581189
