Date,AAPL,AMZN,AVGO,BRK-B,GOOG,INTC,JPM,LLY,MA,META,MSFT,NFLX,NVDA,ORCL,TSLA,XOM
2020-01-23,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,11214000000.0,15563000000.0,6618000000.0,191650000000.0
2020-01-24,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,11214000000.0,15563000000.0,6618000000.0,191650000000.0
2020-01-25,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,11214000000.0,15563000000.0,6618000000.0,191650000000.0
2020-01-26,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-01-27,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-01-28,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-01-29,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-01-30,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-01-31,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-01,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-02,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-03,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-04,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-05,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-06,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-07,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-08,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-09,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-10,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-11,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-12,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-13,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-14,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-15,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-16,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
2020-02-17,89531000000.0,62060000000.0,24941000000.0,424791000000.0,201442000000.0,77504000000.0,261330000000.0,2606900000.0,5893000000.0,101054000000.0,110109000000.0,7582157000.0,12204000000.0,15563000000.0,6618000000.0,191650000000.0
