Date,AAPL,AMZN,AVGO,BRK-B,GOOG,INTC,JPM,LLY,MA,META,MSFT,NFLX,NVDA,ORCL,TSLA,XOM
2020-02-04,336940468452.7588,51017355452.70041,10684132837.627798,211908545.2039032,663000000000.0,246961394397.7356,354718284828.09174,128313369994.57921,39043089800.24115,478000000000.0,1303225057379.1018,161924045832.71118,3764483510.9710693,159595282382.8926,10659200173.989967,193775873515.9876
2020-02-05,339687962241.8213,50773429398.57825,10882316535.992523,215269624.903656,663000000000.0,254054083889.00757,360748693727.21063,131811043647.68715,38948196956.37637,478000000000.0,1301633307276.2246,162213659828.00912,3819779554.3670654,161662565567.90543,8828393062.330452,202693980775.58405
2020-02-06,343661252734.98535,51031294084.36453,10961523247.2235,216173452.9846344,663000000000.0,254357355663.29956,360801157149.5281,131766330526.45467,39064445083.81729,478000000000.0,1328620986344.574,161020105207.07648,3872941486.3586426,161573938699.82147,8999746141.370583,199947473934.42316
2020-02-07,338989972500.9155,51754363450.43515,10808598467.298904,214073954.3770752,663000000000.0,250300712268.82935,359647548173.0539,130970226002.28261,38791590297.04309,478000000000.0,1330502071701.2952,160941109832.85617,3832421676.635742,161603501382.8659,9043746817.26458,198622686382.27185
2020-02-10,340600065818.7866,53114135838.15073,10773279651.966587,213819750.4846344,663000000000.0,251703482906.34155,361142134215.7209,130165067510.57396,39180704429.23242,478000000000.0,1365304007745.708,162827986458.3459,4005771755.218506,162400898471.4241,9324342594.6986,196524995770.4348
2020-02-11,338545087079.4678,53534535603.51907,10977637124.775116,214026877.4539032,663000000000.0,255570589599.60938,361823783464.5615,129037980406.1646,39256627678.70361,478000000000.0,1334481969224.289,163977657736.1153,4080716623.3062744,162873375243.11066,9361819560.652946,198393256516.7667
2020-02-12,346584837962.3413,53763527952.0,11133306225.96839,214130440.9385376,663000000000.0,255760142616.27197,361823783464.5615,128375985944.82417,39640977911.17731,478000000000.0,1336435475438.7715,166750918971.71118,4151549686.431885,164586285554.09622,9276105943.11863,200818681015.71616
2020-02-13,344116787098.3887,53511386840.57825,11108273493.975712,213217203.2192688,663000000000.0,255684308357.23877,361509096740.9784,127006027187.4455,39840287659.0134,478000000000.0,1329199772911.329,167360853250.33676,4124738908.7677,163345937668.2663,9719908732.8947,199704321221.42807
2020-02-14,344201578046.875,53138029007.57825,10895688368.461197,213527893.673172,663000000000.0,255039798732.75757,360407927734.2413,126396920181.0518,40446473331.542175,478000000000.0,1341065767972.813,166922046601.33676,4414315326.690674,163818438912.3726,9671914198.453018,198786569470.35452
2020-02-18,337898973375.5493,53655752325.09732,10654987038.010706,213499650.3924408,663000000000.0,250755652561.18774,355636054656.23145,126298415849.53554,40480878858.45236,478000000000.0,1354668006675.4958,170160441813.56735,4517594295.501709,163759386963.54294,10377574282.685936,196262840949.7978
2020-02-19,342792679629.2114,54017909878.866394,10824370916.990166,215825109.6117096,663000000000.0,254433173606.87256,360486564236.2665,126137218983.47203,40874719497.109955,478000000000.0,1358731118549.4749,169462740848.6153,4793764303.207397,163729873225.33798,11091092797.464508,197770513697.6737
2020-02-20,339275958349.6094,53591782741.141235,10603211399.80926,214817718.0460968,663000000000.0,248139680618.28613,360486564236.2665,127185144545.22781,40861665514.45117,478000000000.0,1337981498269.28,169379366514.0,4702367546.081543,163936567282.45163,10873362389.105965,196197278027.84885
2020-02-21,331596568997.80273,52169787845.91794,10440688703.365786,215909839.4539032,663000000000.0,243931336074.8291,356081770946.4161,127220970935.43114,40298194148.399414,478000000000.0,1295684583741.9143,166777246299.3459,4479512386.3220215,161485348540.36713,10892584414.596466,193804643062.1371
2020-02-24,315845481937.25586,50012277563.92557,9998374221.375444,208716925.1885376,663000000000.0,234149793479.91943,346511851710.68866,123736807060.14647,38515190630.417694,478000000000.0,1239820480350.0776,161788016842.82648,4162821401.5960693,155490180806.23245,10080053133.758911,184725639451.85284
2020-02-25,305147100849.91455,49102529281.35495,9692523144.069098,205289934.923172,663000000000.0,226453513538.3606,331042506237.2831,121282662848.13307,35931463070.43622,478000000000.0,1219361123796.2622,158009884631.45206,3991757766.723633,150499140926.39923,9670462879.14978,177646038576.32483
2020-02-26,309987929598.69385,49273028750.746185,9802245160.00148,203416382.5614624,663000000000.0,226150241764.0686,332038795304.5461,119598793322.10828,35356119348.34274,478000000000.0,1234596545688.714,166413029281.53882,4077060939.7888184,153718243018.83698,9415254813.073639,173745682429.15778
2020-02-27,289724495259.09424,46901209158.423706,9393191062.709803,195517357.5460968,663000000000.0,211667513519.2871,318221402688.17944,115711600798.5791,33906476630.7135,478000000000.0,1147608069906.1184,163108815750.22147,3850109149.9328613,149967563261.04355,8208729080.1491165,163290099625.8426
2020-02-28,289554980126.64795,46887521194.25,9394561303.384342,194265186.0921936,663000000000.0,210492213027.9541,304430136246.3598,112970852761.55626,34432001329.32861,478000000000.0,1175395395945.5813,161932817144.81735,4116384853.363037,146069229158.75626,8075624145.729088,168599824499.2783
2020-03-02,316512793378.2959,48634836916.12784,9820147901.410656,204894514.6270752,663000000000.0,220577043712.61597,318614608650.88586,118980799036.02667,36388180454.555695,478000000000.0,1253604815728.7656,167207268244.92352,4213323646.54541,150321985079.91028,8989949080.899704,176597209414.93277
2020-03-03,306460592759.3994,47515758491.10495,9450730870.996122,196590645.3114624,663000000000.0,212198271755.2185,306658741149.86334,116714747020.8893,34639593681.458374,478000000000.0,1193532990865.561,161818723130.85617,4052673471.4508057,144267716452.10648,9012798021.121796,168140948623.74152
2020-03-04,320675695126.3428,49179438625.00577,9836688188.551302,205111051.2346344,663000000000.0,222472671772.00317,314236082251.06476,125734153852.14177,35868582585.6496,478000000000.0,1237353412764.4517,168409607569.27853,4336478771.209717,149258744095.72983,9061034672.701767,171811858760.87695
2020-03-05,310273882065.1245,47890111398.08206,9443495114.937038,196731876.0809784,663000000000.0,215951643375.39673,298819200199.9766,125528155756.78123,34488932548.457794,478000000000.0,1206302041526.7888,163578342078.56735,4165464454.650879,141757433524.98245,8759282007.960678,164240624765.62738
2020-03-06,306153375791.3208,47319121238.84927,9285324186.882286,193926252.3575592,663000000000.0,211440043373.1079,283376191974.3415,126701480980.8658,34047636139.55597,478000000000.0,1172203191309.8079,161906489817.18265,4054960206.9854736,139896881105.7129,8504678542.9670105,156308851205.50122
2020-03-09,281939183986.20605,44818124333.13165,8536500832.726841,181828230.1270752,663000000000.0,192786904029.8462,244991424018.73425,121560335613.75171,31081917861.010193,478000000000.0,1092759599408.9427,152042111526.78882,3740977060.317993,133590138923.40088,7350378860.298233,137200431856.83316
2020-03-10,302244813506.4697,47088389409.90454,9059608097.487288,190866439.1075592,663000000000.0,204653644016.26587,264026429455.87573,126459641902.06764,33283665920.40158,478000000000.0,1167487131125.3086,159782667242.9806,3979359901.4282227,141052195906.49414,7801677596.675774,142280726864.7637
2020-03-11,291747660701.5991,45322155888.48474,8476195240.153055,183249861.2653656,663000000000.0,195857832580.5664,251598555322.0589,125411716340.31186,32001305634.231323,478000000000.0,1114597853736.8945,153547228510.25912,3756675750.732422,129844608305.11475,7667485210.423195,137593728665.89453
2020-03-12,262936247213.28735,41731697301.536285,7539220114.758644,165672412.7192688,663000000000.0,172655143474.57886,230859368131.36487,112872333836.8057,28648840216.055084,478000000000.0,1008891371640.627,138333796097.25,3296979749.6795654,115559381893.37158,6776734875.126289,121861250883.6975
2020-03-13,294438137585.14404,44429582127.0,8071288004.395294,184906862.653656,663000000000.0,206359719058.99048,272442763167.70935,124829504664.73068,32030943522.101135,478000000000.0,1152324130090.618,147570670702.17352,3670863636.0168457,139164898395.69092,6608329261.94352,124942167373.6615
2020-03-16,256559617373.35205,42043823903.0134,6464057985.752563,167367081.3924408,663000000000.0,169129258316.04004,231672070399.3874,115881779800.35345,27954862677.338135,478000000000.0,982482595198.0999,131132977380.20206,2993513076.7822266,124037610295.53223,5380646641.711929,113044498961.20903
2020-03-17,267840552335.51025,44998080803.29773,6875170784.0362835,176621841.346344,663000000000.0,189867627681.73218,245830440081.94684,128259892471.62462,28219406814.883133,478000000000.0,1063377041494.595,140308426017.75,3311612113.9526367,136058147062.13379,5200876741.82106,120648538634.22276
2020-03-18,261283841876.83105,45549655626.0,5784848186.689105,162348985.9385376,663000000000.0,180503124565.1245,219952112404.4405,128161402733.34265,27039047828.903732,478000000000.0,1018613059381.6038,138430334095.68265,3091365863.800049,137248536481.56738,4366947148.301399,108554181455.92346
2020-03-19,259281840789.18457,46817330498.94083,6700801187.421818,164457894.1843872,663000000000.0,174171665500.64087,223649059913.1621,119204732216.34032,26946516368.610718,478000000000.0,1035372220763.7146,145696971131.81735,3246072160.720825,130860875963.92822,5169927599.79665,112847850556.67834
2020-03-20,242821230415.802,45950142517.84927,6736547606.700745,160108256.5614624,663000000000.0,173754626022.33887,218929626804.88934,109630009040.31918,25080486753.818832,478000000000.0,996485005563.54,146048011094.49088,3136025493.621826,132544903101.01318,5168598030.8258095,107308687745.47426
2020-03-23,237662685977.17285,47362433542.79959,6780357139.539452,152642319.1270752,663000000000.0,187971983306.88477,207209645357.36206,106629508729.39653,24117223613.789673,478000000000.0,986545358894.878,158088866614.35617,3241804229.736328,128305782884.94873,5250322595.565979,103080581566.66832
2020-03-24,261506267896.42334,48290100752.94278,7456394384.794941,167771911.326828,663000000000.0,198663390171.05103,231855610293.4671,110068878672.00131,28123319256.76471,478000000000.0,1076218396954.5171,156794395034.5959,3797981151.5808105,138903547335.20508,6105166959.254417,116158196912.1475
